County,China_National_Party,Democratic_Progressive_Party,Other_1,Other_2,Difference
台北市,38.9,21.9,11.89,24.87,-17
新北市,48.28,22.55,11.37,17.79,-25.73
基隆市,46.46,21.52,13.42,18.6,-24.94
宜蘭縣,54.92,29.56,8.94,6.58,-25.36
桃園市,55.85,15.16,12.02,16.97,-40.69
新竹縣,66.2,11.11,11.67,11.01,-55.09
新竹市,53.65,22.4,12.93,17.25,-31.25
苗栗縣,69.87,10.7,10.3,9.12,-59.17
台中市,46.45,19.55,11.11,22.89,-26.9
彰化縣,63.63,18.12,9.7,8.55,-45.51
南投縣,31.52,16.63,5.31,46.55,-14.89
雲林縣,66.29,19.17,7.22,7.31,-47.12
嘉義縣,65.7,22.94,6.37,4.99,-42.76
嘉義市,47.04,33.35,9.9,9.71,-13.69
台南市,56.58,23.85,10.97,8.6,-32.73
高雄市,50.62,27.32,9.29,12.77,-23.3
屏東縣,62.91,25.46,5.78,5.84,-37.45
花蓮縣,64.05,11.24,8.91,15.8,-52.81
台東縣,68.42,13.37,7.52,10.68,-55.05
澎湖縣,62.61,19.92,10.29,7.18,-42.69
金門縣,40.65,1.63,28.09,29.63,-39.02
連江縣,46.51,1.33,13.56,38.59,-45.18
